"","from","to"
"1",2,3
"2",1,4
"3",2,5
"4",4,5
"5",4,7
"6",5,7
"7",6,7
"8",6,8
"9",1,9
"10",2,9
"11",3,9
"12",4,9
"13",5,9
"14",8,9
"15",6,10
"16",9,10
"17",2,11
"18",3,11
"19",6,11
"20",10,11
"21",1,12
"22",2,12
"23",3,12
"24",5,12
"25",6,12
"26",7,12
"27",11,12
"28",6,13
"29",9,13
"30",12,13
"31",2,14
"32",9,14
"33",11,14
"34",12,14
"35",12,15
"36",3,16
"37",5,16
"38",6,16
"39",8,16
"40",11,16
"41",13,16
"42",15,16
"43",1,17
"44",3,17
"45",5,17
"46",8,17
"47",9,17
"48",10,17
"49",12,17
"50",13,17
"51",16,17
"52",3,18
"53",5,18
"54",8,18
"55",9,18
"56",10,18
"57",13,18
"58",14,18
"59",15,18
"60",1,19
"61",2,19
"62",3,19
"63",4,19
"64",5,19
"65",11,19
"66",12,19
"67",13,19
"68",15,19
"69",7,20
"70",9,20
"71",10,20
"72",11,20
"73",18,20
"74",2,21
"75",9,21
"76",12,21
"77",14,21
"78",16,21
"79",20,21
"80",3,22
"81",10,22
"82",11,22
"83",18,22
"84",21,22
"85",2,23
"86",4,23
"87",5,23
"88",6,23
"89",7,23
"90",8,23
"91",9,23
"92",10,23
"93",11,23
"94",12,23
"95",13,23
"96",16,23
"97",17,23
"98",21,23
"99",22,23
