"","from","to"
"1",2,6
"2",4,6
"3",6,7
"4",4,8
"5",2,9
"6",3,9
"7",4,9
"8",7,10
"9",8,10
"10",2,11
"11",4,11
"12",6,11
"13",1,12
"14",7,12
"15",11,12
"16",5,13
"17",6,13
"18",8,13
"19",11,13
"20",1,14
"21",5,14
"22",6,14
"23",8,14
"24",10,14
"25",12,14
"26",4,15
"27",7,15
"28",8,15
"29",11,15
"30",12,15
"31",13,15
"32",14,15
"33",1,16
"34",5,16
"35",6,16
"36",7,16
"37",8,16
"38",1,17
"39",2,17
"40",3,17
"41",5,17
"42",6,17
"43",7,17
"44",8,17
"45",12,17
"46",15,17
"47",16,17
"48",1,18
"49",2,18
"50",6,18
"51",11,18
"52",16,18
"53",2,19
"54",9,19
"55",10,19
"56",12,19
"57",13,19
"58",18,19
"59",1,20
"60",4,20
"61",15,20
"62",6,21
"63",7,21
"64",8,21
"65",11,21
"66",19,21
"67",20,21
"68",6,22
"69",9,22
"70",13,22
"71",15,22
"72",18,22
"73",21,22
"74",7,23
"75",9,23
"76",14,23
"77",15,23
"78",22,23
"79",9,24
"80",16,24
"81",20,24
"82",8,25
"83",14,25
"84",15,25
"85",16,25
"86",19,25
"87",21,25
"88",23,25
"89",24,25
"90",2,26
"91",3,26
"92",4,26
"93",14,26
"94",18,26
"95",21,26
"96",23,26
