"","from","to"
"1",1,2
"2",3,6
"3",4,7
"4",6,8
"5",5,9
"6",7,9
"7",8,10
"8",8,11
"9",9,11
"10",2,12
"11",4,12
"12",7,12
"13",10,12
"14",1,13
"15",3,13
"16",4,13
"17",7,13
"18",10,13
"19",4,14
"20",9,14
"21",6,15
"22",9,15
"23",11,15
"24",12,15
"25",5,16
"26",6,16
"27",11,16
"28",3,17
"29",4,17
"30",8,17
"31",15,17
"32",3,18
"33",8,18
"34",11,18
"35",12,18
"36",1,19
"37",2,19
"38",5,19
"39",9,19
"40",14,19
"41",15,19
"42",16,19
"43",2,20
"44",7,20
"45",9,20
"46",12,20
"47",13,20
"48",18,20
"49",2,21
"50",4,21
"51",7,21
"52",12,21
"53",13,21
"54",16,21
"55",17,21
"56",20,21
"57",1,22
"58",3,22
"59",10,22
"60",16,22
"61",17,22
"62",20,22
"63",2,23
"64",4,23
"65",8,23
"66",16,23
"67",19,23
"68",20,23
"69",22,23
"70",4,24
"71",11,24
"72",13,24
"73",17,24
"74",23,24
"75",12,25
"76",13,25
"77",14,25
"78",23,25
"79",3,26
"80",6,26
"81",7,26
"82",11,26
"83",14,26
"84",17,26
"85",18,26
"86",22,26
"87",25,26
