"","from","to"
"1",2,3
"2",2,4
"3",1,5
"4",2,5
"5",2,6
"6",3,6
"7",1,9
"8",3,9
"9",4,9
"10",3,10
"11",4,10
"12",9,10
"13",1,11
"14",2,11
"15",1,12
"16",5,12
"17",8,12
"18",11,12
"19",2,13
"20",3,13
"21",4,13
"22",7,13
"23",9,13
"24",4,14
"25",6,14
"26",9,14
"27",11,14
"28",13,14
"29",8,15
"30",5,16
"31",7,16
"32",8,16
"33",9,16
"34",12,16
"35",4,17
"36",5,17
"37",7,17
"38",8,17
"39",10,17
"40",13,17
"41",14,17
"42",1,18
"43",5,18
"44",6,18
"45",9,18
"46",14,18
"47",16,18
"48",10,19
"49",12,19
"50",1,20
"51",2,20
"52",9,20
"53",11,20
"54",12,20
"55",14,20
"56",4,21
"57",8,21
"58",10,21
"59",15,21
"60",17,21
"61",8,22
"62",10,22
"63",12,22
"64",18,22
"65",19,22
"66",20,22
"67",21,22
"68",4,23
"69",8,23
"70",9,23
"71",17,23
"72",20,23
"73",3,24
"74",5,24
"75",7,24
"76",8,24
"77",10,24
"78",13,24
"79",14,24
"80",18,24
"81",19,24
"82",22,24
"83",1,25
"84",3,25
"85",6,25
"86",9,25
"87",14,25
"88",16,25
"89",17,25
"90",22,25
"91",3,26
"92",5,26
"93",6,26
"94",7,26
"95",8,26
"96",12,26
"97",14,26
"98",17,26
"99",20,26
"100",2,27
"101",3,27
"102",5,27
"103",9,27
"104",10,27
"105",13,27
"106",17,27
"107",18,27
"108",25,27
"109",26,27
